id_transacao,compradora,alvo,setor,valuation_brl,data_anuncio,status,email_assessor
5001,Rios,Fonseca,Finanças,30017215.81,2026-01-12,Análise de NDA,advisor.bianca@ficticio-ma.com.br
5002,Oliveira,Marques Vasconcelos Ltda.,Logística,216257530.24,2026-09-13,Cancelada,advisor.bento@ficticio-ma.com.br
5003,da Mata Ltda.,Silveira,Varejo,236753678.17,2025-11-04,Em Due Diligence,advisor.calebe@ficticio-ma.com.br
5004,Pereira,Jesus Barbosa S/A,Varejo,435298239.98,2024-07-29,Cancelada,advisor.nathan@ficticio-ma.com.br
5005,Cassiano Peixoto - EI,Duarte da Luz - ME,Energia,231387201.27,2024-03-11,Concluída,advisor.davi luiz@ficticio-ma.com.br
5006,Barros Costa S.A.,Silveira,Finanças,263616951.16,2023-12-10,Concluída,advisor.caio@ficticio-ma.com.br
5007,da Rocha,da Conceição,Varejo,223922927.69,2025-05-05,Em Due Diligence,advisor.juliana@ficticio-ma.com.br
5008,Pereira Teixeira - ME,Santos,Finanças,231361870.41,2025-03-24,Cancelada,advisor.clara@ficticio-ma.com.br
5009,Guerra,Aragão,Saúde,408619905.68,2025-02-14,Em Due Diligence,advisor.bárbara@ficticio-ma.com.br
5010,Aragão Marques e Filhos,Pereira,Finanças,494666449.65,2025-10-18,Cancelada,advisor.calebe@ficticio-ma.com.br
5011,Campos S/A,Jesus,Tecnologia,114618030.82,2024-01-22,Em Due Diligence,advisor.larissa@ficticio-ma.com.br
5012,Costa,da Costa,Logística,176265774.61,2026-01-01,Análise de NDA,advisor.allana@ficticio-ma.com.br
5013,Rios,Costa Casa Grande - EI,Finanças,133508992.4,2024-10-08,Cancelada,advisor.luísa@ficticio-ma.com.br
5014,Rios,da Mota - ME,Tecnologia,251333977.11,2023-11-22,Análise de NDA,advisor.juliana@ficticio-ma.com.br
5015,Silveira Abreu - ME,Pereira Barbosa e Filhos,Logística,430037309.76,2026-01-16,Concluída,advisor.paulo@ficticio-ma.com.br
5016,Garcia Pereira - ME,da Luz,Varejo,80316062.49,2024-12-24,Análise de NDA,advisor.matheus@ficticio-ma.com.br
5017,Andrade,Câmara,Tecnologia,301974516.48,2024-10-31,Cancelada,advisor.rodrigo@ficticio-ma.com.br
5018,Pereira - EI,Rocha Jesus Ltda.,Varejo,206457345.83,2024-03-27,Concluída,advisor.rafael@ficticio-ma.com.br
5019,da Costa S.A.,Cavalcante Sousa Ltda.,Finanças,84285605.97,2024-04-30,Em Due Diligence,advisor.maria helena@ficticio-ma.com.br
5020,Caldeira Araújo - ME,Barbosa,Energia,195920616.37,2026-01-17,Concluída,advisor.luigi@ficticio-ma.com.br
5021,Vargas Pires Ltda.,da Conceição,Finanças,196501047.37,2025-04-18,Cancelada,advisor.sara@ficticio-ma.com.br
5022,Duarte S/A,Barros,Logística,372182318.72,2025-08-13,Cancelada,advisor.joão vitor@ficticio-ma.com.br
5023,das Neves,Nascimento,Energia,341289520.16,2024-09-06,Cancelada,advisor.hadassa@ficticio-ma.com.br
5024,Alves - EI,Teixeira,Logística,290705445.09,2026-06-18,Em Due Diligence,advisor.carolina@ficticio-ma.com.br
5025,Caldeira Pereira - EI,da Paz Duarte e Filhos,Energia,256215229.58,2026-04-07,Cancelada,advisor.aylla@ficticio-ma.com.br
5026,Moraes Ltda.,Andrade Garcia e Filhos,Saúde,103818968.1,2025-02-12,Concluída,advisor.maria liz@ficticio-ma.com.br
5027,Rodrigues,Casa Grande,Tecnologia,179217114.94,2026-02-05,Concluída,advisor.anna liz@ficticio-ma.com.br
5028,Caldeira - ME,Marques Pastor S/A,Varejo,158076994.48,2024-02-11,Análise de NDA,advisor.davi lucca@ficticio-ma.com.br
5029,Pacheco,Campos Ribeiro S.A.,Logística,224205381.1,2024-08-28,Cancelada,advisor.isabela@ficticio-ma.com.br
5030,Novaes Câmara - EI,Ribeiro,Varejo,23839414.75,2025-01-03,Cancelada,advisor.theodoro@ficticio-ma.com.br
5031,Pires Duarte Ltda.,da Cruz,Tecnologia,302937161.74,2024-04-14,Em Due Diligence,advisor.alexandre@ficticio-ma.com.br
5032,Jesus Guerra e Filhos,Mendes,Tecnologia,302756836.79,2025-12-29,Cancelada,advisor.laís@ficticio-ma.com.br
5033,Novaes,Abreu S/A,Saúde,243400565.58,2025-10-12,Análise de NDA,advisor.breno@ficticio-ma.com.br
5034,Freitas Silveira e Filhos,Moura,Logística,465113187.08,2024-02-28,Concluída,advisor.lorena@ficticio-ma.com.br
5035,Garcia,Marques Rodrigues Ltda.,Logística,228133636.84,2024-07-29,Cancelada,advisor.stella@ficticio-ma.com.br
5036,Abreu Cunha S.A.,Rocha,Finanças,323660594.2,2026-04-12,Concluída,advisor.lunna@ficticio-ma.com.br
5037,Correia Ltda.,Melo,Finanças,11121667.08,2024-02-19,Cancelada,advisor.hellena@ficticio-ma.com.br
5038,Novais,da Cunha Pinto e Filhos,Logística,347158784.27,2025-06-06,Cancelada,advisor.raul@ficticio-ma.com.br
5039,Camargo,Sousa Nascimento S/A,Varejo,469970870.59,2024-05-04,Cancelada,advisor.dante@ficticio-ma.com.br
5040,Leão,Carvalho,Finanças,366843379.9,2025-10-30,Análise de NDA,advisor.juan@ficticio-ma.com.br
5041,Cavalcanti Macedo S/A,Farias Aragão - ME,Energia,454386044.28,2025-11-01,Em Due Diligence,advisor.josé miguel@ficticio-ma.com.br
5042,Dias,Cavalcante,Varejo,446099919.53,2024-04-07,Em Due Diligence,advisor.laura@ficticio-ma.com.br
5043,Pimenta,Mendonça Correia Ltda.,Varejo,176318984.68,2023-12-26,Concluída,advisor.henry gabriel@ficticio-ma.com.br
5044,Albuquerque S/A,Nunes - ME,Finanças,8593488.01,2025-02-27,Cancelada,advisor.francisco@ficticio-ma.com.br
5045,Cassiano - ME,Jesus,Tecnologia,133643811.91,2024-07-28,Cancelada,advisor.isaac@ficticio-ma.com.br
5046,Freitas S.A.,Pires,Varejo,396210569.01,2025-12-17,Concluída,advisor.brenda@ficticio-ma.com.br
5047,Alves S.A.,Alves - ME,Varejo,157665216.75,2025-02-28,Em Due Diligence,advisor.henry gabriel@ficticio-ma.com.br
5048,Brito Pacheco e Filhos,Pires - ME,Finanças,412873779.66,2023-11-11,Análise de NDA,advisor.isadora@ficticio-ma.com.br
5049,Cirino - ME,Porto,Saúde,371211136.22,2025-02-06,Em Due Diligence,advisor.luiz henrique@ficticio-ma.com.br
5050,Novaes,Costela Aparecida e Filhos,Tecnologia,190562436.82,2026-06-30,Cancelada,advisor.valentina@ficticio-ma.com.br
5051,Dias,Casa Grande da Cruz Ltda.,Logística,237330013.72,2024-10-09,Cancelada,advisor.luigi@ficticio-ma.com.br
5052,Porto,Jesus,Saúde,252670084.58,2025-05-19,Análise de NDA,advisor.lavínia@ficticio-ma.com.br
5053,Pacheco,Garcia Ltda.,Tecnologia,453527418.64,2025-07-08,Cancelada,advisor.mariana@ficticio-ma.com.br
5054,Cavalcanti,Alves,Saúde,52383558.59,2025-01-22,Análise de NDA,advisor.josé miguel@ficticio-ma.com.br
5055,da Cunha Dias Ltda.,Borges,Tecnologia,372675723.79,2025-06-13,Concluída,advisor.joão gabriel@ficticio-ma.com.br
5056,Cavalcanti,Gonçalves Rodrigues S.A.,Finanças,37617833.9,2024-08-11,Em Due Diligence,advisor.caio@ficticio-ma.com.br
5057,Ferreira - EI,Cunha da Rosa S/A,Varejo,62064694.66,2025-12-09,Concluída,advisor.eduardo@ficticio-ma.com.br
5058,Sousa Moreira Ltda.,da Conceição,Varejo,177875351.2,2024-05-05,Cancelada,advisor.josé miguel@ficticio-ma.com.br
5059,da Conceição,Monteiro,Saúde,40204544.42,2024-04-26,Cancelada,advisor.matteo@ficticio-ma.com.br
5060,Caldeira,Cassiano,Energia,169417383.38,2024-03-22,Em Due Diligence,advisor.agatha@ficticio-ma.com.br
5061,Machado Ltda.,Cirino Moraes S.A.,Energia,133237572.09,2025-09-17,Análise de NDA,advisor.kevin@ficticio-ma.com.br
5062,da Conceição,Siqueira Costa S.A.,Saúde,341326710.08,2026-09-05,Análise de NDA,advisor.alexia@ficticio-ma.com.br
5063,Casa Grande,Barbosa - EI,Varejo,9945763.24,2023-12-13,Análise de NDA,advisor.luiz fernando@ficticio-ma.com.br
5064,Santos,da Rocha,Tecnologia,43828408.31,2026-03-17,Concluída,advisor.sofia@ficticio-ma.com.br
5065,Souza - ME,da Cruz Borges - ME,Tecnologia,396341458.05,2025-07-04,Em Due Diligence,advisor.ana lívia@ficticio-ma.com.br
5066,Rodrigues,Casa Grande,Saúde,371798720.96,2026-02-01,Análise de NDA,advisor.lívia@ficticio-ma.com.br
5067,Nogueira,Martins - ME,Varejo,170310319.31,2023-11-07,Em Due Diligence,advisor.cecília@ficticio-ma.com.br
5068,Pacheco,Pastor Ferreira e Filhos,Varejo,99348712.84,2025-06-02,Em Due Diligence,advisor.agatha@ficticio-ma.com.br
5069,Farias Santos - ME,Alves,Logística,137300360.58,2024-08-28,Cancelada,advisor.ana beatriz@ficticio-ma.com.br
5070,Caldeira,Carvalho,Tecnologia,458085643.25,2025-04-17,Concluída,advisor.theodoro@ficticio-ma.com.br
5071,Nascimento,Leão Teixeira S/A,Varejo,71947756.17,2025-06-24,Análise de NDA,advisor.ana julia@ficticio-ma.com.br
5072,Almeida Lima - EI,Melo da Cruz e Filhos,Varejo,274032564.11,2024-05-09,Em Due Diligence,advisor.dom@ficticio-ma.com.br
5073,Nascimento e Filhos,Sá,Varejo,426959480.57,2024-06-14,Cancelada,advisor.mariana@ficticio-ma.com.br
5074,Pereira,Guerra Ramos Ltda.,Energia,315120910.51,2026-03-06,Em Due Diligence,advisor.davi lucas@ficticio-ma.com.br
5075,Borges Albuquerque S/A,Oliveira,Logística,347326085.06,2024-07-05,Em Due Diligence,advisor.gael@ficticio-ma.com.br
5076,Pereira,Pires,Energia,295910739.31,2025-03-04,Em Due Diligence,advisor.marina@ficticio-ma.com.br
5077,Marques,Gonçalves S/A,Logística,81100982.8,2026-06-29,Concluída,advisor.noah@ficticio-ma.com.br
5078,Gomes Oliveira - ME,Guerra,Energia,461039197.72,2023-10-10,Cancelada,advisor.milena@ficticio-ma.com.br
5079,Caldeira S.A.,Jesus Machado S.A.,Saúde,229455247.37,2025-10-09,Concluída,advisor.enzo gabriel@ficticio-ma.com.br
5080,Cirino e Filhos,da Rocha Farias S/A,Varejo,56590142.22,2023-10-28,Cancelada,advisor.ana laura@ficticio-ma.com.br
5081,Camargo e Filhos,Correia Moura S.A.,Energia,131084211.64,2024-03-22,Concluída,advisor.gabriel@ficticio-ma.com.br
5082,Cavalcanti,Macedo Almeida S.A.,Saúde,474506368.65,2024-07-15,Análise de NDA,advisor.ísis@ficticio-ma.com.br
